Cidade,X,Y
1,82.79376179340683,63.7630217171378
2,24.195779153981412,55.077616214613066
3,27.54398316546398,40.54824115434562
4,36.748926282863984,42.45740371259728
5,24.588416019109538,95.2220546579391
6,80.71700305204212,54.134130177488
7,32.67410113309709,19.193363913531037
8,42.432765076778104,60.05138792139056
9,76.51415653499849,84.56779412674499
10,57.445535468350315,11.65168275049895
11,17.906725597198992,32.36045357300953
12,55.953264457602614,88.7040560256477
13,19.2491157213725,58.89372741251528
14,37.043784680419876,34.47387670676119
15,4.270004245969061,39.58400458109078
16,88.6064771811683,9.33733398049893
17,8.062360053177208,98.69913663191203
18,45.7700970990741,57.741957024571434
