Cidade,X,Y
1,43.707662871249276,23.347788797007794
2,78.42456091669597,81.06335384695625
3,23.836203643182273,95.95187296470662
4,38.53213620843562,22.55388808459884
5,57.725352305639156,26.839167935197583
6,72.46562093832102,10.007558117088788
7,90.0085476729908,78.33248503746103
8,77.92579273410391,97.96028347367373
9,38.58599805914002,3.765858361790164
10,64.26221635931684,72.93001678155937
11,90.6922379534118,98.35919418198051
12,76.98062008830713,14.001632401774977
13,41.28440747333111,4.304108571053334
14,2.950966157669477,71.16012538452286
15,46.8039711142854,63.72242464264515
16,82.91249456402193,61.53383411720041
17,46.8444132857084,73.26017653428755
18,40.59682818897479,44.90201634999178
19,67.92487120078825,0.6116657147263393
20,88.04356155706637,23.891692269562526
21,85.05019184254304,10.711179726605035
22,29.51430729133143,20.43988318407267
23,2.367531335609452,55.582659424746495
24,54.13052790946313,90.62604451335244
25,9.60094081382542,7.771052133032863
26,23.191251363503262,61.27149869992362
27,75.19166248777465,40.44488382398899
28,73.0296805605878,3.27139389484411
29,26.267418239967345,29.320027355436906
30,49.93165573004881,77.18073841468934
