Cidade,X,Y
1,18.778291297093308,52.44423249743849
2,77.91738608520352,48.285843885250834
3,25.1368282709027,52.71166875054439
4,55.48703419284522,44.473831727256375
5,22.32929596438372,99.86699636242395
6,79.78760829598355,17.273649951688487
7,70.74793488301971,28.33450058420326
8,92.53911006981745,93.59162934440923
9,43.181601572040684,95.28315195185458
10,32.414853220494344,57.667085526103925
11,26.348254934881645,55.029338912881286
12,0.7872002712960291,46.68150924891206
13,69.74627305459707,22.856623270258957
14,95.4355132981506,90.92229729402575
15,8.060679433025209,37.60625752694341
16,31.70208861296173,81.08936259047948
17,52.794194969413255,49.48936757924144
18,88.07548867335916,1.5581705778451638
19,90.74554553791458,35.09947639157757
20,83.2621977899113,76.59092715875339
21,88.84226470666583,47.20016470610632
22,71.80501876567781,76.21335634137336
23,63.968715886242876,95.1972921175818
24,74.05164821177482,88.50309024595595
25,5.229845944191669,85.49940279048238
