Cidade,X,Y
1,38.60185935850613,67.51918085423502
2,60.12169684054046,41.40142691575286
3,60.940503412267766,66.88530972665448
4,3.324093300926234,8.238771798675748
5,26.448233962393775,26.575531929892815
6,30.329713538665658,95.23544322641241
7,55.82246220851985,5.726183914422622
8,52.21946137414136,75.89512894395489
9,12.910141173674427,44.12538359196374
10,77.5871373104431,63.42103665643205
11,48.90317154769165,73.11221028480654
12,52.32353733953284,56.493326979192624
13,38.40553630461522,24.697896568034917
14,49.475317065325484,29.857391268278487
15,77.92601730906492,51.99225715185647
16,73.33896367999581,57.253861443150576
17,29.173563986448116,83.54949906840832
18,31.160278765630366,26.41941637612217
19,14.278819187206636,19.171988934428896
20,76.7938198442006,56.25519143328509
